neighbourhood,cluster,opportunity_index
south-eglinton-davisville,1,Medium Opportunity
north-toronto,1,Medium Opportunity
dovercourt-village,1,Medium Opportunity
junction-wallace-emerson,1,Medium Opportunity
yonge-bay-corridor,1,Medium Opportunity
bay-cloverhill,1,Medium Opportunity
bendale-glen-andrew,1,Medium Opportunity
downsview,2,Low Opportunity
oakdale-beverley-heights,2,Low Opportunity
avondale,1,Medium Opportunity
east-willowdale,1,Medium Opportunity
yonge-doris,1,Medium Opportunity
fenside-parkwoods,2,Low Opportunity
parkwoods-o'connor-hills,2,Low Opportunity
east-l'amoreaux,2,Low Opportunity
l'amoreaux-west,2,Low Opportunity
malvern-east,2,Low Opportunity
malvern-west,2,Low Opportunity
morningside-heights,1,Medium Opportunity
west-rouge,1,Medium Opportunity
woburn-north,2,Low Opportunity
golfdale-cedarbrae-woburn,2,Low Opportunity
guildwood,1,Medium Opportunity
scarborough-village,2,Low Opportunity
eglinton-east,2,Low Opportunity
west-hill,2,Low Opportunity
morningside,2,Low Opportunity
highland-creek,1,Medium Opportunity
centennial-scarborough,0,High Opportunity
milliken,2,Low Opportunity
agincourt-north,2,Low Opportunity
agincourt-south-malvern-west,2,Low Opportunity
dorset-park,2,Low Opportunity
ionview,2,Low Opportunity
kennedy-park,2,Low Opportunity
cliffcrest,1,Medium Opportunity
birchcliffe-cliffside,1,Medium Opportunity
downtown-yonge-east,1,Medium Opportunity
church-wellesley,1,Medium Opportunity
st-lawrence-east-bayfront-the-islands,1,Medium Opportunity
harbourfront-cityplace,1,Medium Opportunity
wellington-place,0,High Opportunity
fort-york-liberty-village,0,High Opportunity
west-queen-west,0,High Opportunity
humber-bay-shores,1,Medium Opportunity
mimico-queensway,1,Medium Opportunity
etobicoke-city-centre,1,Medium Opportunity
islington,1,Medium Opportunity
bendale-south,2,Low Opportunity
caledonia-fairbank,2,Low Opportunity
briar-hill-belgravia,2,Low Opportunity
oakwood-village,1,Medium Opportunity
humewood-cedarvale,1,Medium Opportunity
lawrence-park-north,0,High Opportunity
lawrence-park-south,0,High Opportunity
forest-hill-north,1,Medium Opportunity
forest-hill-south,0,High Opportunity
yonge-eglinton,1,Medium Opportunity
mount-pleasant-east,0,High Opportunity
rosedale-moore-park,0,High Opportunity
yonge-stclair,0,High Opportunity
casa-loma,1,Medium Opportunity
annex,1,Medium Opportunity
wychwood,1,Medium Opportunity
corso-italia-davenport,1,Medium Opportunity
weston-pelham-park,2,Low Opportunity
junction-area,1,Medium Opportunity
oakridge,2,Low Opportunity
clairlea-birchmount,2,Low Opportunity
wexford/maryvale,2,Low Opportunity
tam-o'shanter-sullivan,2,Low Opportunity
steeles,2,Low Opportunity
mount-dennis,2,Low Opportunity
lambton-baby-point,1,Medium Opportunity
weston,2,Low Opportunity
beechborough-greenbrook,2,Low Opportunity
rockcliffe-smythe,2,Low Opportunity
keelesdale-eglinton-west,2,Low Opportunity
palmerston-little-italy,1,Medium Opportunity
university,1,Medium Opportunity
kensington-chinatown,2,Low Opportunity
north-stjames-town,2,Low Opportunity
moss-park,1,Medium Opportunity
regent-park,2,Low Opportunity
cabbagetown-south-stjames-town,1,Medium Opportunity
south-riverdale,1,Medium Opportunity
blake-jones,1,Medium Opportunity
north-riverdale,0,High Opportunity
playter-estates-danforth,1,Medium Opportunity
danforth,1,Medium Opportunity
greenwood-coxwell,1,Medium Opportunity
woodbine-corridor,1,Medium Opportunity
the-beaches,0,High Opportunity
east-end-danforth,1,Medium Opportunity
taylor-massey,2,Low Opportunity
woodbine-lumsden,1,Medium Opportunity
danforth-east-york,1,Medium Opportunity
old-east-york,1,Medium Opportunity
runnymede-bloor-west-village,0,High Opportunity
high-park-north,1,Medium Opportunity
high-park-swansea,1,Medium Opportunity
roncesvalles,1,Medium Opportunity
south-parkdale,2,Low Opportunity
little-portugal,1,Medium Opportunity
dufferin-grove,1,Medium Opportunity
trinity-bellwoods,1,Medium Opportunity
don-valley-village,1,Medium Opportunity
pleasant-view,2,Low Opportunity
flemingdon-park,2,Low Opportunity
victoria-village,2,Low Opportunity
banbury-don-mills,1,Medium Opportunity
bridle-path-sunnybrook-york-mills,0,High Opportunity
standrew-windfields,0,High Opportunity
bedford-park-nortown,0,High Opportunity
lansing-westgate,1,Medium Opportunity
willowdale-west,1,Medium Opportunity
newtonbrook-west,1,Medium Opportunity
westminster-branson,2,Low Opportunity
bathurst-manor,1,Medium Opportunity
clanton-park,1,Medium Opportunity
englemount-lawrence,2,Low Opportunity
yorkdale-glen-park,2,Low Opportunity
brookhaven-amesbury,2,Low Opportunity
maple-leaf,2,Low Opportunity
rustic,2,Low Opportunity
york-university-heights,2,Low Opportunity
glenfield-jane-heights,2,Low Opportunity
broadview-north,2,Low Opportunity
leaside-bennington,0,High Opportunity
thorncliffe-park,2,Low Opportunity
o'connor-parkview,2,Low Opportunity
henry-farm,1,Medium Opportunity
bayview-village,1,Medium Opportunity
newtonbrook-east,1,Medium Opportunity
bayview-woods-steeles,1,Medium Opportunity
hillcrest-village,1,Medium Opportunity
alderwood,1,Medium Opportunity
long-branch,1,Medium Opportunity
new-toronto,2,Low Opportunity
stonegate-queensway,1,Medium Opportunity
kingsway-south,0,High Opportunity
etobicoke-west-mall,2,Low Opportunity
markland-wood,1,Medium Opportunity
eringate-centennial-west-deane,1,Medium Opportunity
princess-rosethorn,0,High Opportunity
edenbridge-humber-valley,1,Medium Opportunity
humber-heights-westmount,2,Low Opportunity
willowridge-martingrove-richview,2,Low Opportunity
kingsview-village-the-westway,2,Low Opportunity
elms-old-rexdale,2,Low Opportunity
rexdale-kipling,2,Low Opportunity
thistletown-beaumond-heights,2,Low Opportunity
mount-olive-silverstone-jamestown,2,Low Opportunity
west-humber-clairville,2,Low Opportunity
black-creek,2,Low Opportunity
pelmo-park-humberlea,2,Low Opportunity
humbermede,2,Low Opportunity
humber-summit,2,Low Opportunity
