neighbourhood,assault_rate,assault_count,break-enter_count,break-enter_rate,homicide_count,homicide_rate,robbery_count,robbery_rate,shooting_count,shooting_rate
South Eglinton-Davisville,429.549774169922,106,44,178.303680419922,1,4.05235624313354,9,36.4712066650391,,
North Toronto,703.092407226563,118,49,291.962097167969,,,12,71.5009231567383,1,5.95841026306152
Dovercourt Village,883.392211914063,115,19,145.951751708984,,,22,168.996780395508,2,15.3633432388306
Junction-Wallace Emerson,734.997192382813,182,76,306.921905517578,,,11,44.4229049682617,4,16.1537837982178
Yonge-Bay Corridor,2359.3466796875,325,112,813.067138671875,1,7.25952816009521,50,362.976409912109,,
Bay-Cloverhill,779.040588378906,146,38,202.76399230957,,,21,112.053787231445,,
Bendale-Glen Andrew,643.359436035156,129,19,94.7583694458008,,,49,244.376846313477,5,24.9364128112793
Downsview,731.707336425781,138,28,148.462356567383,,,11,58.3244972229004,,
Oakdale-Beverley Heights,1312.53649902344,292,63,283.184234619141,,,29,130.35466003418,9,40.454891204834
Avondale,335.869476318359,49,17,116.526153564453,,,6,41.1268768310547,,
East Willowdale,333.477416992188,54,26,160.563201904297,,,10,61.7550811767578,1,6.17550802230835
Yonge-Doris,331.203063964844,71,19,88.6318054199219,,,25,116.620796203613,,
Fenside-Parkwoods,399.832641601563,86,20,92.9843292236328,1,4.6492166519165,8,37.193733215332,3,13.9476499557495
Parkwoods-O'Connor Hills,359.612731933594,52,17,117.565696716309,,,16,110.65007019043,1,6.91562938690186
East L'Amoreaux,351.314086914063,79,14,62.2581939697266,,,7,31.1290969848633,2,8.89402770996094
L'Amoreaux West,448.171813964844,101,17,75.4348602294922,,,8,35.4987564086914,3,13.3120336532593
Malvern East,514.308776855469,140,20,73.4726867675781,1,3.67363429069519,22,80.819953918457,4,14.6945371627808
Malvern West,501.405029296875,91,14,77.1392364501953,2,11.0198907852173,20,110.198905944824,6,33.0596733093262
Morningside Heights,336.777648925781,88,25,95.6754684448242,1,3.82701873779297,12,45.9242248535156,3,11.4810562133789
West Rouge,308.386260986328,67,22,101.261161804199,1,4.60277986526489,7,32.2194595336914,6,27.6166801452637
Woburn North,649.44384765625,181,28,100.466453552246,,,12,43.0570487976074,7,25.1166133880615
Golfdale-Cedarbrae-Woburn,640.24072265625,183,27,94.4617462158203,2,6.9971661567688,21,73.4702453613281,13,45.4815788269043
Guildwood,355.134643554688,36,7,69.0539627075195,2,19.7297039031982,4,39.4594078063965,,
Scarborough Village,687.324584960938,120,22,126.009506225586,,,15,85.9155731201172,3,17.1831150054932
Eglinton East,679.444702148438,162,30,125.823089599609,3,12.5823097229004,17,71.2997512817383,8,33.5528259277344
West Hill,1111.18640136719,328,70,237.143432617188,,,43,145.673828125,5,16.9388160705566
Morningside,451.160522460938,83,16,86.970703125,,,5,27.1783447265625,3,16.3070068359375
Highland Creek,288.009704589844,38,5,37.8960151672363,1,7.57920265197754,2,15.1584053039551,,
Centennial Scarborough,265.442291259766,37,5,35.8705787658691,,,6,43.0446929931641,,
Milliken,246.238037109375,63,89,347.860076904297,1,3.90854024887085,16,62.5366439819336,6,23.4512405395508
Agincourt North,213.881607055664,62,18,62.0946617126465,,,7,24.1479225158691,,
Agincourt South-Malvern West,594.167785644531,152,44,171.995941162109,1,3.90899848937988,19,74.2709732055664,5,19.5449924468994
Dorset Park,547.126586914063,141,38,147.452560424805,3,11.6409921646118,17,65.9656219482422,6,23.2819843292236
Ionview,660.777160644531,92,18,129.282485961914,,,4,28.7294406890869,,
Kennedy Park,1037.22802734375,185,35,196.232345581055,2,11.2132768630981,27,151.37922668457,2,11.2132768630981
Cliffcrest,585.039672851563,98,30,179.093780517578,1,5.96979284286499,13,77.607307434082,,
Birchcliffe-Cliffside,591.642028808594,142,42,174.992706298828,,,14,58.3309020996094,1,4.16649293899536
Downtown Yonge East,3034.01782226563,594,161,822.351623535156,,,96,490.346313476563,7,35.7544174194336
Church-Wellesley,1690.64904785156,403,87,364.978820800781,,,41,172.001510620117,2,8.39031791687012
St Lawrence-East Bayfront-The Islands,1079.68371582031,355,150,456.204376220703,,,43,130.778594970703,2,6.08272504806519
Harbourfront-CityPlace,925.895080566406,278,54,179.850128173828,,,23,76.6028289794922,6,19.9833469390869
Wellington Place,1240.04504394531,341,148,538.201416015625,1,3.63649582862854,19,69.0934219360352,6,21.8189754486084
Fort York-Liberty Village,713.752563476563,153,41,191.267028808594,,,7,32.655345916748,2,9.33009910583496
West Queen West,736.981140136719,106,51,354.585266113281,,,11,76.4791793823242,1,6.95265245437622
Humber Bay Shores,452.147705078125,102,29,128.551803588867,,,6,26.596923828125,1,4.43282079696655
Mimico-Queensway,1329.62890625,268,25,124.03254699707,,,8,39.6904144287109,2,9.92260360717773
Etobicoke City Centre,620.697875976563,156,76,302.391265869141,1,3.97883272171021,11,43.7671585083008,3,11.9364976882935
Islington,227.143661499023,56,44,178.470031738281,,,11,44.6175079345703,1,4.05613708496094
Bendale South,539.012084960938,61,4,35.3450546264648,,,7,61.8538475036621,2,17.6725273132324
Caledonia-Fairbank,610.395812988281,64,10,95.3743438720703,,,2,19.0748691558838,2,19.0748691558838
Briar Hill-Belgravia,465.329650878906,71,40,262.157562255859,1,6.55393886566162,16,104.863021850586,,
Oakwood Village,450.429748535156,98,35,160.867767333984,,,12,55.1546630859375,3,13.7886657714844
Humewood-Cedarvale,336.33056640625,49,19,130.41389465332,,,3,20.591667175293,,
Lawrence Park North,287.920440673828,44,20,130.872924804688,,,8,52.3491706848145,,
Lawrence Park South,192.122955322266,30,26,166.506561279297,,,7,44.8286895751953,,
Forest Hill North,310.173706054688,40,12,93.0521087646484,,,3,23.2630271911621,1,7.75434255599976
Forest Hill South,139.811248779297,16,25,218.455078125,,,2,17.4764060974121,,
Yonge-Eglinton,492.990295410156,64,31,238.792175292969,,,4,30.8118934631348,,
Mount Pleasant East,283.102325439453,48,33,194.632858276367,,,9,53.0816879272461,,
Rosedale-Moore Park,745.807800292969,157,64,304.023559570313,1,4.75036811828613,29,137.760681152344,1,4.75036811828613
Yonge-St.Clair,372.698028564453,51,30,219.234146118164,,,5,36.5390243530273,,
Casa Loma,388.251190185547,46,35,295.408508300781,,,1,8.44024276733398,1,8.44024276733398
Annex,1006.21118164063,324,157,487.57763671875,,,52,161.490676879883,1,3.10559010505676
Wychwood,386.686920166016,56,33,227.869079589844,,,5,34.5256195068359,1,6.90512371063232
Corso Italia-Davenport,858.152465820313,119,31,223.552322387695,,,1,7.21136522293091,,
Weston-Pelham Park,812.003540039063,92,23,203.000885009766,,,6,52.9567527770996,4,35.304500579834
Junction Area,784.8974609375,116,45,304.486083984375,,,9,60.8972206115723,,
Oakridge,1307.90942382813,190,28,192.744537353516,,,22,151.442138671875,3,20.6512012481689
Clairlea-Birchmount,800.332580566406,231,57,197.484664916992,1,3.46464323997498,9,31.1817893981934,2,6.92928647994995
Wexford/Maryvale,726.7099609375,216,70,235.507858276367,2,6.72879600524902,28,94.2031402587891,5,16.8219890594482
Tam O'Shanter-Sullivan,414.981170654297,119,15,52.3085517883301,,,11,38.3596038818359,5,17.4361839294434
Steeles,204.260284423828,49,17,70.8658142089844,,,7,29.1800403594971,1,4.16857719421387
Mount Dennis,703.972412109375,98,15,107.750877380371,1,7.18339204788208,11,79.0173110961914,2,14.3667840957642
Lambton Baby Point,410.826477050781,34,6,72.4987945556641,,,,,,
Weston,1031.03198242188,204,36,181.946838378906,,,25,126.35196685791,4,20.2163143157959
Beechborough-Greenbrook,866.447570800781,58,7,104.571258544922,2,29.8775024414063,13,194.203765869141,5,74.6937561035156
Rockcliffe-Smythe,600.094970703125,139,35,151.103057861328,1,4.31723022460938,16,69.07568359375,12,51.8067588806152
Keelesdale-Eglinton West,619.869323730469,74,27,226.168533325195,3,25.1298370361328,7,58.636287689209,2,16.7532253265381
Palmerston-Little Italy,517.873840332031,72,32,230.166152954102,1,7.19269227981567,9,64.7342300415039,,
University,1191.8203125,95,32,401.455261230469,,,10,125.454772949219,1,12.5454769134521
Kensington-Chinatown,2046.17797851563,405,98,495.124542236328,2,10.1045827865601,32,161.673324584961,9,45.4706192016602
North St.James Town,1344.63159179688,265,45,228.333679199219,,,16,81.185302734375,3,15.2222452163696
Moss Park,2565.15502929688,625,154,632.05419921875,1,4.104248046875,88,361.173828125,3,12.312744140625
Regent Park,1366.42297363281,185,32,236.354232788086,1,7.38606977462769,16,118.177116394043,2,14.7721395492554
Cabbagetown-South St.James Town,1067.55493164063,125,68,580.749877929688,1,8.54043865203857,14,119.566146850586,,
South Riverdale,753.244995117188,224,135,453.964630126953,2,6.72540187835693,31,104.243728637695,2,6.72540187835693
Blake-Jones,599.566284179688,47,27,344.431701660156,,,13,165.837478637695,1,12.7567291259766
North Riverdale,476.230255126953,57,32,267.357330322266,1,8.3549165725708,5,41.774585723877,1,8.3549165725708
Playter Estates-Danforth,719.878784179688,57,41,517.807556152344,,,12,151.553421020508,1,12.629451751709
Danforth,941.176452636719,92,51,521.739135742188,,,12,122.762145996094,,
Greenwood-Coxwell,735.442932128906,109,38,256.392944335938,,,14,94.460563659668,2,13.4943656921387
Woodbine Corridor,571.741882324219,73,31,242.794479370117,1,7.83208036422729,8,62.6566429138184,,
The Beaches,414.974792480469,93,39,174.021682739258,,,17,75.8556060791016,,
East End-Danforth,800.347961425781,184,67,291.431060791016,2,8.69943428039551,28,121.792083740234,2,8.69943428039551
Taylor-Massey,735.667175292969,116,16,101.471336364746,,,10,63.4195823669434,2,12.6839170455933
Woodbine-Lumsden,400.485443115234,33,11,133.495147705078,,,2,24.2718448638916,,
Danforth East York,326.429534912109,58,23,129.446197509766,,,5,28.1404781341553,1,5.62809562683105
Old East York,399.579376220703,38,6,63.0914840698242,,,8,84.1219787597656,,
Runnymede-Bloor West Village,244.223175048828,26,12,112.718391418457,,,6,56.3591957092285,,
High Park North,425.879730224609,99,38,163.468978881836,,,12,51.6217842102051,,
High Park-Swansea,338.402404785156,81,28,116.978607177734,,,9,37.6002655029297,2,8.35561466217041
Roncesvalles,695.030883789063,107,67,435.206237792969,,,12,77.9473876953125,4,25.9824619293213
South Parkdale,1126.59997558594,257,63,276.170440673828,,,20,87.6731567382813,3,13.1509733200073
Little Portugal,630.176452636719,105,40,240.06721496582,,,10,60.0168037414551,1,6.00168037414551
Dufferin Grove,664.200439453125,79,29,243.820419311523,,,4,33.6304016113281,1,8.40760040283203
Trinity-Bellwoods,773.040222167969,128,49,295.929473876953,,,21,126.82691192627,2,12.0787534713745
Don Valley Village,443.325286865234,125,31,109.944671630859,,,17,60.2922401428223,2,7.09320449829102
Pleasant View,163.583740234375,26,17,106.958602905273,,,9,56.6251411437988,,
Flemingdon Park,624.2568359375,147,10,42.4664497375488,1,4.24664497375488,4,16.9865798950195,8,33.9731597900391
Victoria Village,519.182434082031,95,22,120.231719970703,,,8,43.7206268310547,3,16.3952350616455
Banbury-Don Mills,301.680297851563,86,23,80.6819381713867,,,3,10.5237312316895,2,7.01582050323486
Bridle Path-Sunnybrook-York Mills,423.228332519531,43,19,187.007873535156,,,5,49.2125968933105,,
St.Andrew-Windfields,299.655120849609,53,33,186.577713012695,,,2,11.3077402114868,,
Bedford Park-Nortown,189.745132446289,44,30,129.371688842773,,,10,43.123893737793,2,8.62477874755859
Lansing-Westgate,556.319885253906,93,16,95.7109527587891,,,12,71.7832183837891,3,17.9458045959473
Willowdale West,449.126708984375,81,16,88.7163848876953,,,28,155.253677368164,,
Newtonbrook West,805.101623535156,202,35,139.497802734375,,,17,67.7560806274414,,
Westminster-Branson,329.11767578125,89,25,92.4487838745117,,,8,29.583610534668,2,7.39590263366699
Bathurst Manor,327.439422607422,55,18,107.161994934082,,,9,53.580997467041,1,5.95344400405884
Clanton Park,509.567962646484,94,36,195.153686523438,1,5.42093563079834,13,70.4721603393555,,
Englemount-Lawrence,392.646789550781,88,23,102.623596191406,1,4.46189546585083,7,31.233268737793,4,17.8475818634033
Yorkdale-Glen Park,901.101318359375,162,63,350.428314208984,1,5.56235408782959,17,94.5600204467773,9,50.0611877441406
Brookhaven-Amesbury,672.498657226563,123,25,136.686706542969,3,16.4024047851563,15,82.0120315551758,4,21.8698749542236
Maple Leaf,314.945587158203,33,10,95.4380569458008,,,1,9.5438060760498,2,19.0876121520996
Rustic,765.974609375,76,7,70.55029296875,2,20.1572265625,6,60.4716796875,8,80.62890625
York University Heights,1109.66271972656,332,114,381.028778076172,6,20.0541458129883,40,133.694305419922,14,46.7930068969727
Glenfield-Jane Heights,982.543151855469,309,41,130.369812011719,5,15.898756980896,26,82.6735382080078,17,54.0557746887207
Broadview North,472.102996826172,55,18,154.506439208984,1,8.58369064331055,10,85.8369064331055,1,8.58369064331055
Leaside-Bennington,288.850372314453,50,39,225.303298950195,,,3,17.3310222625732,1,5.77700757980347
Thorncliffe Park,546.473388671875,118,35,162.089569091797,,,14,64.835823059082,3,13.8933916091919
O'Connor-Parkview,589.834350585938,115,38,194.901779174805,1,5.12899398803711,12,61.5479316711426,2,10.2579879760742
Henry Farm,446.174285888672,94,24,113.916839599609,,,7,33.2257461547852,,
Bayview Village,299.048095703125,71,29,122.146408081055,,,4,16.8477802276611,3,12.635835647583
Newtonbrook East,567.435180664063,95,27,161.271057128906,,,14,83.6220321655273,1,5.9730019569397
Bayview Woods-Steeles,199.401794433594,26,10,76.693000793457,,,2,15.3385992050171,,
Hillcrest Village,258.838745117188,44,20,117.65397644043,1,5.88269901275635,10,58.8269882202148,1,5.88269901275635
Alderwood,206.138336181641,27,17,129.790802001953,,,2,15.2695064544678,,
Long Branch,798.118103027344,95,15,126.018653869629,1,8.40124320983887,1,8.40124320983887,3,25.2037296295166
New Toronto,971.361572265625,116,18,150.728515625,,,14,117.233291625977,3,25.1214199066162
Stonegate-Queensway,292.189544677734,78,30,112.380592346191,1,3.74601984024048,18,67.4283599853516,,
Kingsway South,346.808288574219,32,9,97.5398254394531,,,13,140.890869140625,,
Etobicoke West Mall,368.829956054688,47,12,94.1693496704102,,,2,15.6948909759521,,
Markland Wood,229.75830078125,25,9,82.7129821777344,,,8,73.5226516723633,,
Eringate-Centennial-West Deane,203.326202392578,39,14,72.9888916015625,,,4,20.8539695739746,1,5.21349239349365
Princess-Rosethorn,216.262969970703,25,11,95.1557083129883,,,2,17.3010387420654,1,8.65051937103271
Edenbridge-Humber Valley,218.082122802734,35,16,99.6946868896484,,,1,6.23091793060303,2,12.4618358612061
Humber Heights-Westmount,294.252868652344,32,16,147.126434326172,2,18.3908042907715,1,9.19540214538574,5,45.9770126342773
Willowridge-Martingrove-Richview,249.055313110352,58,22,94.4692535400391,2,8.58811378479004,6,25.7643413543701,3,12.8821706771851
Kingsview Village-The Westway,431.053253173828,99,17,74.0192413330078,1,4.35407304763794,9,39.1866607666016,7,30.4785118103027
Elms-Old Rexdale,708.637145996094,69,10,102.701034545898,,,7,71.8907241821289,7,71.8907241821289
Rexdale-Kipling,451.5712890625,49,29,267.256469726563,,,10,92.1574020385742,1,9.21574020385742
Thistletown-Beaumond Heights,583.508728027344,61,8,76.5257339477539,,,6,57.3942985534668,1,9.56571674346924
Mount Olive-Silverstone-Jamestown,640.792053222656,211,16,48.5908660888672,,,50,151.846450805664,10,30.369291305542
West Humber-Clairville,684.253662109375,242,98,277.094451904297,1,2.82749462127686,53,149.857208251953,5,14.1374731063843
Black Creek,955.170104980469,212,27,121.649017333984,,,15,67.5827865600586,15,67.5827865600586
Pelmo Park-Humberlea,484.941284179688,57,12,102.092903137207,2,17.0154838562012,4,34.0309677124023,2,17.0154838562012
Humbermede,659.229187011719,117,30,169.033126831055,,,18,101.419876098633,4,22.5377502441406
Humber Summit,887.248718261719,113,41,321.922119140625,1,7.85175895690918,14,109.924621582031,3,23.5552768707275
